txn_id,wh_id,material_id,inv_txn_type_cd,txn_dt_key,txn_qty,ref_doc_no,txn_uom_cd,operator_nm,reason_cd
1,WH_E_RM,MAT_FG_1001,RCV,20250115,20,REF00001,EA,SYSTEM,NORMAL
2,WH_E_RM,MAT_FG_1001,ISS,20250115,0,REF00002,EA,SYSTEM,NORMAL
3,WH_E_RM,MAT_FG_1001,ADJ,20250115,2,REF00003,EA,SYSTEM,NORMAL
4,WH_E_RM,MAT_FG_1002,RCV,20250115,22,REF00004,EA,SYSTEM,NORMAL
5,WH_E_RM,MAT_FG_1002,ISS,20250115,0,REF00005,EA,SYSTEM,NORMAL
6,WH_E_RM,MAT_FG_1002,ADJ,20250115,2,REF00006,EA,SYSTEM,NORMAL
7,WH_E_RM,MAT_FG_1003,RCV,20250115,24,REF00007,EA,SYSTEM,NORMAL
8,WH_E_RM,MAT_FG_1003,ISS,20250115,0,REF00008,EA,SYSTEM,NORMAL
9,WH_E_RM,MAT_FG_1003,ADJ,20250115,2,REF00009,EA,SYSTEM,NORMAL
10,WH_E_RM,MAT_FG_1004,RCV,20250115,26,REF00010,EA,SYSTEM,NORMAL
11,WH_E_RM,MAT_FG_1004,ISS,20250115,0,REF00011,EA,SYSTEM,NORMAL
12,WH_E_RM,MAT_FG_1004,ADJ,20250115,2,REF00012,EA,SYSTEM,NORMAL
13,WH_E_RM,MAT_FG_1005,RCV,20250115,28,REF00013,EA,SYSTEM,NORMAL
14,WH_E_RM,MAT_FG_1005,ISS,20250115,0,REF00014,EA,SYSTEM,NORMAL
15,WH_E_RM,MAT_FG_1005,ADJ,20250115,2,REF00015,EA,SYSTEM,NORMAL
16,WH_E_RM,MAT_FG_1006,RCV,20250115,30,REF00016,EA,SYSTEM,NORMAL
17,WH_E_RM,MAT_FG_1006,ISS,20250115,0,REF00017,EA,SYSTEM,NORMAL
18,WH_E_RM,MAT_FG_1006,ADJ,20250115,2,REF00018,EA,SYSTEM,NORMAL
19,WH_E_RM,MAT_RM_2001,RCV,20250115,32,REF00019,EA,SYSTEM,NORMAL
20,WH_E_RM,MAT_RM_2001,ISS,20250115,-32,REF00020,EA,SYSTEM,NORMAL
