po_id,supplier_id,plant_id,po_status_cd,po_date_key,eta_dt_key,buyer_id,currency_cd,incoterm_cd,approval_status_cd
PO0001,SUP_001,PLT_SOUTH,REL,20250106,20250118,B001,CNY,DAP,APR
PO0002,SUP_002,PLT_EAST,REL,20250106,20250118,B001,CNY,DAP,APR
PO0003,SUP_003,PLT_SOUTH,REL,20250106,20250118,B001,CNY,DAP,APR
PO0004,SUP_004,PLT_EAST,REL,20250106,20250118,B001,CNY,DAP,APR
PO0005,SUP_005,PLT_SOUTH,REL,20250106,20250118,B001,CNY,DAP,APR
PO0006,SUP_006,PLT_EAST,REL,20250106,20250118,B001,CNY,DAP,APR
PO0007,SUP_001,PLT_SOUTH,REL,20250206,20250218,B001,CNY,DAP,APR
PO0008,SUP_002,PLT_EAST,REL,20250206,20250218,B001,CNY,DAP,APR
PO0009,SUP_003,PLT_SOUTH,REL,20250206,20250218,B001,CNY,DAP,APR
PO0010,SUP_004,PLT_EAST,REL,20250206,20250218,B001,CNY,DAP,APR
PO0011,SUP_005,PLT_SOUTH,REL,20250206,20250218,B001,CNY,DAP,APR
PO0012,SUP_006,PLT_EAST,REL,20250206,20250218,B001,CNY,DAP,APR
PO0013,SUP_001,PLT_SOUTH,REL,20250306,20250318,B001,CNY,DAP,APR
PO0014,SUP_002,PLT_EAST,REL,20250306,20250318,B001,CNY,DAP,APR
PO0015,SUP_003,PLT_SOUTH,REL,20250306,20250318,B001,CNY,DAP,APR
PO0016,SUP_004,PLT_EAST,REL,20250306,20250318,B001,CNY,DAP,APR
PO0017,SUP_005,PLT_SOUTH,REL,20250306,20250318,B001,CNY,DAP,APR
PO0018,SUP_006,PLT_EAST,REL,20250306,20250318,B001,CNY,DAP,APR
PO0019,SUP_001,PLT_SOUTH,REL,20250406,20250418,B001,CNY,DAP,APR
PO0020,SUP_002,PLT_EAST,REL,20250406,20250418,B001,CNY,DAP,APR
PO0021,SUP_003,PLT_SOUTH,REL,20250406,20250418,B001,CNY,DAP,APR
PO0022,SUP_004,PLT_EAST,REL,20250406,20250418,B001,CNY,DAP,APR
PO0023,SUP_005,PLT_SOUTH,REL,20250406,20250418,B001,CNY,DAP,APR
PO0024,SUP_006,PLT_EAST,REL,20250406,20250418,B001,CNY,DAP,APR
POX020001,SUP_001,PLT_SOUTH,REL,20240101,20240105,B001,CNY,DAP,APR
POX020002,SUP_001,PLT_EAST,REL,20240102,20240106,B001,CNY,DAP,APR
