po_line_id,po_id,material_id,po_qty,recv_qty,unit_price_amt,tax_amt,discount_amt,line_eta_dt_key
POL0001,PO0001,MAT_RM_2002,170,170,26.0,0.0,0.0,20250101
POL0002,PO0001,MAT_RM_2003,185,185,29.0,0.0,0.0,20250101
POL0003,PO0002,MAT_RM_2003,190,190,32.0,0.0,0.0,20250101
POL0004,PO0002,MAT_RM_2004,205,205,35.0,0.0,0.0,20250101
POL0005,PO0003,MAT_RM_2004,210,210,38.0,0.0,0.0,20250101
POL0006,PO0003,MAT_RM_2005,225,225,41.0,0.0,0.0,20250101
POL0007,PO0004,MAT_RM_2005,230,230,44.0,0.0,0.0,20250101
POL0008,PO0004,MAT_RM_2006,245,245,47.0,0.0,0.0,20250101
POL0009,PO0005,MAT_RM_2006,250,250,50.0,0.0,0.0,20250101
POL0010,PO0005,MAT_RM_2007,265,265,53.0,0.0,0.0,20250101
POL0011,PO0006,MAT_RM_2007,270,270,56.0,0.0,0.0,20250101
POL0012,PO0006,MAT_RM_2008,285,285,59.0,0.0,0.0,20250101
POL0013,PO0007,MAT_RM_2002,170,170,26.0,0.0,0.0,20250101
POL0014,PO0007,MAT_RM_2003,185,185,29.0,0.0,0.0,20250101
POL0015,PO0008,MAT_RM_2003,190,190,32.0,0.0,0.0,20250101
POL0016,PO0008,MAT_RM_2004,205,205,35.0,0.0,0.0,20250101
POL0017,PO0009,MAT_RM_2004,210,210,38.0,0.0,0.0,20250101
POL0018,PO0009,MAT_RM_2005,225,225,41.0,0.0,0.0,20250101
POL0019,PO0010,MAT_RM_2005,230,230,44.0,0.0,0.0,20250101
POL0020,PO0010,MAT_RM_2006,245,245,47.0,0.0,0.0,20250101
POL0021,PO0011,MAT_RM_2006,250,250,50.0,0.0,0.0,20250101
POL0022,PO0011,MAT_RM_2007,265,265,53.0,0.0,0.0,20250101
POL0023,PO0012,MAT_RM_2007,270,270,56.0,0.0,0.0,20250101
POL0024,PO0012,MAT_RM_2008,285,285,59.0,0.0,0.0,20250101
POL0025,PO0013,MAT_RM_2002,170,170,26.0,0.0,0.0,20250101
POL0026,PO0013,MAT_RM_2003,185,185,29.0,0.0,0.0,20250101
POL0027,PO0014,MAT_RM_2003,190,190,32.0,0.0,0.0,20250101
POL0028,PO0014,MAT_RM_2004,205,205,35.0,0.0,0.0,20250101
POL0029,PO0015,MAT_RM_2004,210,205,38.0,0.0,0.0,20250101
POL0030,PO0015,MAT_RM_2005,225,225,41.0,0.0,0.0,20250101
POL0031,PO0016,MAT_RM_2005,230,230,44.0,0.0,0.0,20250101
POL0032,PO0016,MAT_RM_2006,245,245,47.0,0.0,0.0,20250101
POL0033,PO0017,MAT_RM_2006,250,250,50.0,0.0,0.0,20250101
POL0034,PO0017,MAT_RM_2007,265,265,53.0,0.0,0.0,20250101
POL0035,PO0018,MAT_RM_2007,270,270,56.0,0.0,0.0,20250101
POL0036,PO0018,MAT_RM_2008,285,285,59.0,0.0,0.0,20250101
POL0037,PO0019,MAT_RM_2002,170,170,26.0,0.0,0.0,20250101
POL0038,PO0019,MAT_RM_2003,185,185,29.0,0.0,0.0,20250101
POL0039,PO0020,MAT_RM_2003,190,190,32.0,0.0,0.0,20250101
POL0040,PO0020,MAT_RM_2004,205,205,35.0,0.0,0.0,20250101
POL0041,PO0021,MAT_RM_2004,210,210,38.0,0.0,0.0,20250101
POL0042,PO0021,MAT_RM_2005,225,225,41.0,0.0,0.0,20250101
POL0043,PO0022,MAT_RM_2005,230,230,44.0,0.0,0.0,20250101
POL0044,PO0022,MAT_RM_2006,245,245,47.0,0.0,0.0,20250101
POL0045,PO0023,MAT_RM_2006,250,250,50.0,0.0,0.0,20250101
POL0046,PO0023,MAT_RM_2007,265,265,53.0,0.0,0.0,20250101
POL0047,PO0024,MAT_RM_2007,270,270,56.0,0.0,0.0,20250101
POL0048,PO0024,MAT_RM_2008,285,285,59.0,0.0,0.0,20250101
POLX030001,POX020001,MAT_RM_2002,80,79,20.0,0.0,0.0,20250101
POLX030002,POX020001,MAT_RM_2003,90,89,21.0,0.0,0.0,20250101
POLX030003,POX020002,MAT_RM_2003,81,81,20.0,0.0,0.0,20250101
POLX030004,POX020002,MAT_RM_2004,91,91,21.0,0.0,0.0,20250101
POLX030005,POX020003,MAT_RM_2004,82,82,20.0,0.0,0.0,20250101
POLX030006,POX020003,MAT_RM_2005,92,92,21.0,0.0,0.0,20250101
POLX030007,POX020004,MAT_RM_2005,83,83,20.0,0.0,0.0,20250101
POLX030008,POX020004,MAT_RM_2006,93,93,21.0,0.0,0.0,20250101
POLX030009,POX020005,MAT_RM_2006,84,84,20.0,0.0,0.0,20250101
POLX030010,POX020005,MAT_RM_2007,94,94,21.0,0.0,0.0,20250101
POLX030011,POX020006,MAT_RM_2007,85,85,20.0,0.0,0.0,20250101
POLX030012,POX020006,MAT_RM_2008,95,95,21.0,0.0,0.0,20250101
POLX030013,POX020007,MAT_RM_2008,86,86,20.0,0.0,0.0,20250101
POLX030014,POX020007,MAT_RM_2009,96,96,21.0,0.0,0.0,20250101
POLX030015,POX020008,MAT_RM_2009,87,87,20.0,0.0,0.0,20250101
POLX030016,POX020008,MAT_RM_2010,97,97,21.0,0.0,0.0,20250101
POLX030017,POX020009,MAT_RM_2010,88,88,20.0,0.0,0.0,20250101
POLX030018,POX020009,MAT_RM_2001,98,98,21.0,0.0,0.0,20250101
POLX030019,POX020010,MAT_RM_2001,89,89,20.0,0.0,0.0,20250101
POLX030020,POX020010,MAT_RM_2002,99,99,21.0,0.0,0.0,20250101
POLX030021,POX020011,MAT_RM_2002,90,90,20.0,0.0,0.0,20250101
POLX030022,POX020011,MAT_RM_2003,100,100,21.0,0.0,0.0,20250101
POLX030023,POX020012,MAT_RM_2003,91,91,20.0,0.0,0.0,20250101
POLX030024,POX020012,MAT_RM_2004,101,101,21.0,0.0,0.0,20250101
POLX030025,POX020013,MAT_RM_2004,92,92,20.0,0.0,0.0,20250101
POLX030026,POX020013,MAT_RM_2005,102,102,21.0,0.0,0.0,20250101
POLX030027,POX020014,MAT_RM_2005,93,93,20.0,0.0,0.0,20250101
POLX030028,POX020014,MAT_RM_2006,103,103,21.0,0.0,0.0,20250101
POLX030029,POX020015,MAT_RM_2006,94,94,20.0,0.0,0.0,20250101
POLX030030,POX020015,MAT_RM_2007,104,104,21.0,0.0,0.0,20250101
POLX030031,POX020016,MAT_RM_2007,95,95,20.0,0.0,0.0,20250101
POLX030032,POX020016,MAT_RM_2008,105,105,21.0,0.0,0.0,20250101
