output_id,prod_line_id,material_id,output_dt_key,shift_cd,good_qty,scrap_qty,runtime_min,rework_qty,overtime_min,fp_yield_rate,energy_kwh_qty
1,LINE_A,MAT_FG_1001,20250101,D1,39,1,480.0,0,0.0,0.98,0.0
2,LINE_A,MAT_FG_1001,20250102,D2,39,1,468.0,0,0.0,0.98,0.0
3,LINE_A,MAT_FG_1001,20250103,D1,39,1,456.0,0,0.0,0.98,0.0
4,LINE_A,MAT_FG_1001,20250104,D2,39,1,480.0,0,0.0,0.98,0.0
5,LINE_A,MAT_FG_1001,20250105,D1,39,1,468.0,0,0.0,0.98,0.0
6,LINE_A,MAT_FG_1001,20250106,D2,39,1,456.0,0,0.0,0.98,0.0
7,LINE_A,MAT_FG_1001,20250107,D1,39,1,480.0,0,0.0,0.98,0.0
8,LINE_A,MAT_FG_1001,20250108,D2,39,1,468.0,0,0.0,0.98,0.0
9,LINE_A,MAT_FG_1001,20250109,D1,39,1,456.0,0,0.0,0.98,0.0
10,LINE_A,MAT_FG_1001,20250110,D2,39,1,480.0,0,0.0,0.98,0.0
11,LINE_A,MAT_FG_1001,20250111,D1,39,1,468.0,0,0.0,0.98,0.0
12,LINE_A,MAT_FG_1001,20250112,D2,39,1,456.0,0,0.0,0.98,0.0
13,LINE_A,MAT_FG_1001,20250113,D1,39,1,480.0,0,0.0,0.98,0.0
14,LINE_A,MAT_FG_1001,20250114,D2,39,1,468.0,0,0.0,0.98,0.0
15,LINE_A,MAT_FG_1001,20250115,D1,39,1,456.0,0,0.0,0.98,0.0
16,LINE_A,MAT_FG_1001,20250116,D2,39,1,480.0,0,0.0,0.98,0.0
17,LINE_A,MAT_FG_1001,20250117,D1,39,1,468.0,0,0.0,0.98,0.0
18,LINE_A,MAT_FG_1001,20250118,D2,39,1,456.0,0,0.0,0.98,0.0
19,LINE_A,MAT_FG_1001,20250119,D1,39,1,480.0,0,0.0,0.98,0.0
20,LINE_A,MAT_FG_1001,20250120,D2,39,1,468.0,0,0.0,0.98,0.0
21,LINE_A,MAT_FG_1001,20250121,D1,39,1,456.0,0,0.0,0.98,0.0
22,LINE_A,MAT_FG_1001,20250122,D2,39,1,480.0,0,0.0,0.98,0.0
23,LINE_A,MAT_FG_1001,20250123,D1,38,1,468.0,0,0.0,0.98,0.0
24,LINE_A,MAT_FG_1001,20250124,D2,38,1,456.0,0,0.0,0.98,0.0
25,LINE_A,MAT_FG_1001,20250125,D1,38,1,480.0,0,0.0,0.98,0.0
26,LINE_A,MAT_FG_1001,20250126,D2,38,1,468.0,0,0.0,0.98,0.0
27,LINE_A,MAT_FG_1001,20250127,D1,38,1,456.0,0,0.0,0.98,0.0
28,LINE_A,MAT_FG_1001,20250128,D2,38,1,480.0,0,0.0,0.98,0.0
29,LINE_A,MAT_FG_1001,20250129,D1,38,1,468.0,0,0.0,0.98,0.0
30,LINE_A,MAT_FG_1001,20250130,D2,38,1,456.0,0,0.0,0.98,0.0
31,LINE_A,MAT_FG_1001,20250131,D1,38,1,480.0,0,0.0,0.98,0.0
32,LINE_B,MAT_FG_1002,20250101,D1,36,1,480.0,0,0.0,0.98,0.0
33,LINE_B,MAT_FG_1002,20250102,D2,36,1,468.0,0,0.0,0.98,0.0
34,LINE_B,MAT_FG_1002,20250103,D1,36,1,456.0,0,0.0,0.98,0.0
35,LINE_B,MAT_FG_1002,20250104,D2,36,1,480.0,0,0.0,0.98,0.0
36,LINE_B,MAT_FG_1002,20250105,D1,36,1,468.0,0,0.0,0.98,0.0
37,LINE_B,MAT_FG_1002,20250106,D2,36,1,456.0,0,0.0,0.98,0.0
38,LINE_B,MAT_FG_1002,20250107,D1,36,1,480.0,0,0.0,0.98,0.0
39,LINE_B,MAT_FG_1002,20250108,D2,36,1,468.0,0,0.0,0.98,0.0
40,LINE_B,MAT_FG_1002,20250109,D1,36,1,456.0,0,0.0,0.98,0.0
41,LINE_B,MAT_FG_1002,20250110,D2,36,1,480.0,0,0.0,0.98,0.0
42,LINE_B,MAT_FG_1002,20250111,D1,36,1,468.0,0,0.0,0.98,0.0
43,LINE_B,MAT_FG_1002,20250112,D2,36,1,456.0,0,0.0,0.98,0.0
44,LINE_B,MAT_FG_1002,20250113,D1,36,1,480.0,0,0.0,0.98,0.0
