qa_defect_id,inspection_id,defect_type_cd,defect_qty,defect_loc_cd,root_cause_cd,containment_fg
1,INSP20250101,DF02,3,NA,TBD,0
2,INSP20250101,DF04,2,NA,TBD,0
3,INSP20250102,DF03,4,NA,TBD,0
4,INSP20250102,DF01,4,NA,TBD,0
5,INSP20250103,DF01,4,NA,TBD,0
6,INSP20250103,DF02,2,NA,TBD,0
7,INSP20250201,DF02,3,NA,TBD,0
8,INSP20250201,DF04,2,NA,TBD,0
9,INSP20250202,DF03,4,NA,TBD,0
10,INSP20250202,DF01,4,NA,TBD,0
11,INSP20250203,DF01,4,NA,TBD,0
12,INSP20250203,DF02,2,NA,TBD,0
13,INSP20250301,DF02,3,NA,TBD,0
14,INSP20250301,DF04,2,NA,TBD,0
15,INSP20250302,DF03,10,NA,TBD,0
16,INSP20250302,DF01,8,NA,TBD,0
17,INSP20250303,DF01,4,NA,TBD,0
18,INSP20250303,DF02,2,NA,TBD,0
19,INSP20250401,DF02,3,NA,TBD,0
20,INSP20250401,DF04,2,NA,TBD,0
21,INSP20250402,DF03,4,NA,TBD,0
22,INSP20250402,DF01,4,NA,TBD,0
23,INSP20250403,DF01,4,NA,TBD,0
24,INSP20250403,DF02,2,NA,TBD,0
100001,INSPX090001,DF01,2,NA,TBD,0
100002,INSPX090001,DF02,1,NA,TBD,0
100003,INSPX090002,DF02,3,NA,TBD,0
100004,INSPX090002,DF03,1,NA,TBD,0
100005,INSPX090003,DF03,4,NA,TBD,0
100006,INSPX090003,DF04,1,NA,TBD,0
100007,INSPX090004,DF01,3,NA,TBD,0
100008,INSPX090004,DF02,1,NA,TBD,0
100009,INSPX090005,DF02,4,NA,TBD,0
100010,INSPX090005,DF03,1,NA,TBD,0
100011,INSPX090006,DF03,5,NA,TBD,0
100012,INSPX090006,DF04,1,NA,TBD,0
100013,INSPX090007,DF01,4,NA,TBD,0
100014,INSPX090007,DF02,1,NA,TBD,0
100015,INSPX090008,DF02,5,NA,TBD,0
100016,INSPX090008,DF03,1,NA,TBD,0
100017,INSPX090009,DF03,6,NA,TBD,0
100018,INSPX090009,DF04,1,NA,TBD,0
100019,INSPX090010,DF01,5,NA,TBD,0
100020,INSPX090010,DF02,1,NA,TBD,0
100021,INSPX090011,DF02,6,NA,TBD,0
100022,INSPX090011,DF03,1,NA,TBD,0
100023,INSPX090012,DF03,1,NA,TBD,0
100024,INSPX090012,DF04,1,NA,TBD,0
100025,INSPX090013,DF01,6,NA,TBD,0
100026,INSPX090013,DF02,1,NA,TBD,0
100027,INSPX090014,DF02,1,NA,TBD,0
100028,INSPX090014,DF03,1,NA,TBD,0
100029,INSPX090015,DF03,2,NA,TBD,0
100030,INSPX090015,DF04,1,NA,TBD,0
100031,INSPX090016,DF01,1,NA,TBD,0
100032,INSPX090016,DF02,1,NA,TBD,0
100033,INSPX090017,DF02,2,NA,TBD,0
100034,INSPX090017,DF03,1,NA,TBD,0
100035,INSPX090018,DF03,3,NA,TBD,0
100036,INSPX090018,DF04,1,NA,TBD,0
100037,INSPX090019,DF01,2,NA,TBD,0
100038,INSPX090019,DF02,1,NA,TBD,0
100039,INSPX090020,DF02,3,NA,TBD,0
100040,INSPX090020,DF03,1,NA,TBD,0
100041,INSPX090021,DF03,4,NA,TBD,0
100042,INSPX090021,DF04,1,NA,TBD,0
100043,INSPX090022,DF01,3,NA,TBD,0
100044,INSPX090022,DF02,1,NA,TBD,0
100045,INSPX090023,DF02,4,NA,TBD,0
100046,INSPX090023,DF03,1,NA,TBD,0
100047,INSPX090024,DF03,5,NA,TBD,0
100048,INSPX090024,DF04,1,NA,TBD,0
100049,INSPX090025,DF01,4,NA,TBD,0
100050,INSPX090025,DF02,1,NA,TBD,0
100051,INSPX090026,DF02,5,NA,TBD,0
100052,INSPX090026,DF03,1,NA,TBD,0
100053,INSPX090027,DF03,6,NA,TBD,0
100054,INSPX090027,DF04,1,NA,TBD,0
100055,INSPX090028,DF01,5,NA,TBD,0
100056,INSPX090028,DF02,1,NA,TBD,0
100057,INSPX090029,DF02,6,NA,TBD,0
100058,INSPX090029,DF03,1,NA,TBD,0
100059,INSPX090030,DF03,1,NA,TBD,0
100060,INSPX090030,DF04,1,NA,TBD,0
100061,INSPX090031,DF01,6,NA,TBD,0
100062,INSPX090031,DF02,1,NA,TBD,0
100063,INSPX090032,DF02,1,NA,TBD,0
100064,INSPX090032,DF03,1,NA,TBD,0
100065,INSPX090033,DF03,2,NA,TBD,0
100066,INSPX090033,DF04,1,NA,TBD,0
100067,INSPX090034,DF01,1,NA,TBD,0
100068,INSPX090034,DF02,1,NA,TBD,0
100069,INSPX090035,DF02,2,NA,TBD,0
100070,INSPX090035,DF03,1,NA,TBD,0
100071,INSPX090036,DF03,3,NA,TBD,0
100072,INSPX090036,DF04,1,NA,TBD,0
100073,INSPX090037,DF01,2,NA,TBD,0
100074,INSPX090037,DF02,1,NA,TBD,0
100075,INSPX090038,DF02,3,NA,TBD,0
100076,INSPX090038,DF03,1,NA,TBD,0
100077,INSPX090039,DF03,4,NA,TBD,0
100078,INSPX090039,DF04,1,NA,TBD,0
100079,INSPX090040,DF01,3,NA,TBD,0
100080,INSPX090040,DF02,1,NA,TBD,0
100081,INSPX090041,DF02,4,NA,TBD,0
100082,INSPX090041,DF03,1,NA,TBD,0
100083,INSPX090042,DF03,5,NA,TBD,0
100084,INSPX090042,DF04,1,NA,TBD,0
100085,INSPX090043,DF01,4,NA,TBD,0
100086,INSPX090043,DF02,1,NA,TBD,0
100087,INSPX090044,DF02,5,NA,TBD,0
100088,INSPX090044,DF03,1,NA,TBD,0
100089,INSPX090045,DF03,6,NA,TBD,0
100090,INSPX090045,DF04,1,NA,TBD,0
100091,INSPX090046,DF01,5,NA,TBD,0
100092,INSPX090046,DF02,1,NA,TBD,0
100093,INSPX090047,DF02,6,NA,TBD,0
100094,INSPX090047,DF03,1,NA,TBD,0
100095,INSPX090048,DF03,1,NA,TBD,0
100096,INSPX090048,DF04,1,NA,TBD,0
100097,INSPX090049,DF01,6,NA,TBD,0
100098,INSPX090049,DF02,1,NA,TBD,0
100099,INSPX090050,DF02,1,NA,TBD,0
100100,INSPX090050,DF03,1,NA,TBD,0
100101,INSPX090051,DF03,2,NA,TBD,0
100102,INSPX090051,DF04,1,NA,TBD,0
100103,INSPX090052,DF01,1,NA,TBD,0
100104,INSPX090052,DF02,1,NA,TBD,0
100105,INSPX090053,DF02,2,NA,TBD,0
100106,INSPX090053,DF03,1,NA,TBD,0
100107,INSPX090054,DF03,3,NA,TBD,0
100108,INSPX090054,DF04,1,NA,TBD,0
100109,INSPX090055,DF01,2,NA,TBD,0
100110,INSPX090055,DF02,1,NA,TBD,0
100111,INSPX090056,DF02,3,NA,TBD,0
100112,INSPX090056,DF03,1,NA,TBD,0
100113,INSPX090057,DF03,4,NA,TBD,0
100114,INSPX090057,DF04,1,NA,TBD,0
100115,INSPX090058,DF01,3,NA,TBD,0
100116,INSPX090058,DF02,1,NA,TBD,0
100117,INSPX090059,DF02,4,NA,TBD,0
100118,INSPX090059,DF03,1,NA,TBD,0
100119,INSPX090060,DF03,5,NA,TBD,0
100120,INSPX090060,DF04,1,NA,TBD,0
100121,INSPX090061,DF01,4,NA,TBD,0
100122,INSPX090061,DF02,1,NA,TBD,0
100123,INSPX090062,DF02,5,NA,TBD,0
100124,INSPX090062,DF03,1,NA,TBD,0
100125,INSPX090063,DF03,6,NA,TBD,0
100126,INSPX090063,DF04,1,NA,TBD,0
100127,INSPX090064,DF01,5,NA,TBD,0
100128,INSPX090064,DF02,1,NA,TBD,0
100129,INSPX090065,DF02,6,NA,TBD,0
