inspection_id,work_order_id,supplier_id,material_id,inspection_dt_key,inspected_qty,reject_qty,inspector_nm,inspection_type_cd,lot_no,sample_size_qty
INSP20250101,,SUP_001,MAT_RM_2001,20250112,500,5,QA_TEAM,IQC,LOT,0
INSP20250102,,SUP_003,MAT_RM_2003,20250113,420,8,QA_TEAM,IQC,LOT,0
INSP20250103,WO0001,,MAT_FG_1001,20250120,300,6,QA_TEAM,IQC,LOT,0
INSP20250201,,SUP_001,MAT_RM_2001,20250212,500,5,QA_TEAM,IQC,LOT,0
INSP20250202,,SUP_003,MAT_RM_2003,20250213,420,8,QA_TEAM,IQC,LOT,0
INSP20250203,WO0009,,MAT_FG_1001,20250220,300,6,QA_TEAM,IQC,LOT,0
INSP20250301,,SUP_001,MAT_RM_2001,20250312,500,5,QA_TEAM,IQC,LOT,0
INSP20250302,,SUP_003,MAT_RM_2003,20250313,420,18,QA_TEAM,IQC,LOT,0
INSP20250303,WO0017,,MAT_FG_1001,20250320,300,6,QA_TEAM,IQC,LOT,0
INSP20250401,,SUP_001,MAT_RM_2001,20250412,500,5,QA_TEAM,IQC,LOT,0
INSP20250402,,SUP_003,MAT_RM_2003,20250413,420,8,QA_TEAM,IQC,LOT,0
INSP20250403,WO0025,,MAT_FG_1001,20250420,300,6,QA_TEAM,IQC,LOT,0
INSPX090001,,SUP_001,MAT_FG_1001,20240101,100,3,QA_TEAM,IQC,LOT,0
INSPX090002,,SUP_002,MAT_FG_1001,20240101,105,4,QA_TEAM,IQC,LOT,0
INSPX090003,,SUP_003,MAT_FG_1001,20240101,110,5,QA_TEAM,IQC,LOT,0
INSPX090004,,SUP_001,MAT_FG_1001,20240102,100,4,QA_TEAM,IQC,LOT,0
INSPX090005,,SUP_002,MAT_FG_1001,20240102,105,5,QA_TEAM,IQC,LOT,0
INSPX090006,,SUP_003,MAT_FG_1001,20240102,110,6,QA_TEAM,IQC,LOT,0
INSPX090007,,SUP_001,MAT_FG_1001,20240103,100,5,QA_TEAM,IQC,LOT,0
INSPX090008,,SUP_002,MAT_FG_1001,20240103,105,6,QA_TEAM,IQC,LOT,0
INSPX090009,,SUP_003,MAT_FG_1001,20240103,110,7,QA_TEAM,IQC,LOT,0
INSPX090010,,SUP_001,MAT_FG_1001,20240104,100,6,QA_TEAM,IQC,LOT,0
INSPX090011,,SUP_002,MAT_FG_1001,20240104,105,7,QA_TEAM,IQC,LOT,0
INSPX090012,,SUP_003,MAT_FG_1001,20240104,110,2,QA_TEAM,IQC,LOT,0
INSPX090013,,SUP_001,MAT_FG_1001,20240105,100,7,QA_TEAM,IQC,LOT,0
INSPX090014,,SUP_002,MAT_FG_1001,20240105,105,2,QA_TEAM,IQC,LOT,0
INSPX090015,,SUP_003,MAT_FG_1001,20240105,110,3,QA_TEAM,IQC,LOT,0
INSPX090016,,SUP_001,MAT_FG_1001,20240106,100,2,QA_TEAM,IQC,LOT,0
INSPX090017,,SUP_002,MAT_FG_1001,20240106,105,3,QA_TEAM,IQC,LOT,0
INSPX090018,,SUP_003,MAT_FG_1001,20240106,110,4,QA_TEAM,IQC,LOT,0
INSPX090019,,SUP_001,MAT_FG_1001,20240107,100,3,QA_TEAM,IQC,LOT,0
INSPX090020,,SUP_002,MAT_FG_1001,20240107,105,4,QA_TEAM,IQC,LOT,0
INSPX090021,,SUP_003,MAT_FG_1001,20240107,110,5,QA_TEAM,IQC,LOT,0
INSPX090022,,SUP_001,MAT_FG_1001,20240108,100,4,QA_TEAM,IQC,LOT,0
INSPX090023,,SUP_002,MAT_FG_1001,20240108,105,5,QA_TEAM,IQC,LOT,0
INSPX090024,,SUP_003,MAT_FG_1001,20240108,110,6,QA_TEAM,IQC,LOT,0
INSPX090025,,SUP_001,MAT_FG_1001,20240109,100,5,QA_TEAM,IQC,LOT,0
INSPX090026,,SUP_002,MAT_FG_1001,20240109,105,6,QA_TEAM,IQC,LOT,0
INSPX090027,,SUP_003,MAT_FG_1001,20240109,110,7,QA_TEAM,IQC,LOT,0
INSPX090028,,SUP_001,MAT_FG_1001,20240110,100,6,QA_TEAM,IQC,LOT,0
INSPX090029,,SUP_002,MAT_FG_1001,20240110,105,7,QA_TEAM,IQC,LOT,0
INSPX090030,,SUP_003,MAT_FG_1001,20240110,110,2,QA_TEAM,IQC,LOT,0
INSPX090031,,SUP_001,MAT_FG_1001,20240111,100,7,QA_TEAM,IQC,LOT,0
INSPX090032,,SUP_002,MAT_FG_1001,20240111,105,2,QA_TEAM,IQC,LOT,0
INSPX090033,,SUP_003,MAT_FG_1001,20240111,110,3,QA_TEAM,IQC,LOT,0
INSPX090034,,SUP_001,MAT_FG_1001,20240112,100,2,QA_TEAM,IQC,LOT,0
INSPX090035,,SUP_002,MAT_FG_1001,20240112,105,3,QA_TEAM,IQC,LOT,0
INSPX090036,,SUP_003,MAT_FG_1001,20240112,110,4,QA_TEAM,IQC,LOT,0
INSPX090037,,SUP_001,MAT_FG_1001,20240113,100,3,QA_TEAM,IQC,LOT,0
INSPX090038,,SUP_002,MAT_FG_1001,20240113,105,4,QA_TEAM,IQC,LOT,0
INSPX090039,,SUP_003,MAT_FG_1001,20240113,110,5,QA_TEAM,IQC,LOT,0
INSPX090040,,SUP_001,MAT_FG_1001,20240114,100,4,QA_TEAM,IQC,LOT,0
INSPX090041,,SUP_002,MAT_FG_1001,20240114,105,5,QA_TEAM,IQC,LOT,0
INSPX090042,,SUP_003,MAT_FG_1001,20240114,110,6,QA_TEAM,IQC,LOT,0
INSPX090043,,SUP_001,MAT_FG_1001,20240115,100,5,QA_TEAM,IQC,LOT,0
INSPX090044,,SUP_002,MAT_FG_1001,20240115,105,6,QA_TEAM,IQC,LOT,0
INSPX090045,,SUP_003,MAT_FG_1001,20240115,110,7,QA_TEAM,IQC,LOT,0
INSPX090046,,SUP_001,MAT_FG_1001,20240116,100,6,QA_TEAM,IQC,LOT,0
INSPX090047,,SUP_002,MAT_FG_1001,20240116,105,7,QA_TEAM,IQC,LOT,0
INSPX090048,,SUP_003,MAT_FG_1001,20240116,110,2,QA_TEAM,IQC,LOT,0
INSPX090049,,SUP_001,MAT_FG_1001,20240117,100,7,QA_TEAM,IQC,LOT,0
INSPX090050,,SUP_002,MAT_FG_1001,20240117,105,2,QA_TEAM,IQC,LOT,0
INSPX090051,,SUP_003,MAT_FG_1001,20240117,110,3,QA_TEAM,IQC,LOT,0
INSPX090052,,SUP_001,MAT_FG_1001,20240118,100,2,QA_TEAM,IQC,LOT,0
INSPX090053,,SUP_002,MAT_FG_1001,20240118,105,3,QA_TEAM,IQC,LOT,0
INSPX090054,,SUP_003,MAT_FG_1001,20240118,110,4,QA_TEAM,IQC,LOT,0
INSPX090055,,SUP_001,MAT_FG_1001,20240119,100,3,QA_TEAM,IQC,LOT,0
INSPX090056,,SUP_002,MAT_FG_1001,20240119,105,4,QA_TEAM,IQC,LOT,0
INSPX090057,,SUP_003,MAT_FG_1001,20240119,110,5,QA_TEAM,IQC,LOT,0
INSPX090058,,SUP_001,MAT_FG_1001,20240120,100,4,QA_TEAM,IQC,LOT,0
INSPX090059,,SUP_002,MAT_FG_1001,20240120,105,5,QA_TEAM,IQC,LOT,0
INSPX090060,,SUP_003,MAT_FG_1001,20240120,110,6,QA_TEAM,IQC,LOT,0
INSPX090061,,SUP_001,MAT_FG_1001,20240121,100,5,QA_TEAM,IQC,LOT,0
INSPX090062,,SUP_002,MAT_FG_1001,20240121,105,6,QA_TEAM,IQC,LOT,0
INSPX090063,,SUP_003,MAT_FG_1001,20240121,110,7,QA_TEAM,IQC,LOT,0
INSPX090064,,SUP_001,MAT_FG_1001,20240122,100,6,QA_TEAM,IQC,LOT,0
INSPX090065,,SUP_002,MAT_FG_1001,20240122,105,7,QA_TEAM,IQC,LOT,0
INSPX090066,,SUP_003,MAT_FG_1001,20240122,110,2,QA_TEAM,IQC,LOT,0
INSPX090067,,SUP_001,MAT_FG_1001,20240123,100,7,QA_TEAM,IQC,LOT,0
INSPX090068,,SUP_002,MAT_FG_1001,20240123,105,2,QA_TEAM,IQC,LOT,0
INSPX090069,,SUP_003,MAT_FG_1001,20240123,110,3,QA_TEAM,IQC,LOT,0
INSPX090070,,SUP_001,MAT_FG_1001,20240124,100,2,QA_TEAM,IQC,LOT,0
INSPX090071,,SUP_002,MAT_FG_1001,20240124,105,3,QA_TEAM,IQC,LOT,0
INSPX090072,,SUP_003,MAT_FG_1001,20240124,110,4,QA_TEAM,IQC,LOT,0
INSPX090073,,SUP_001,MAT_FG_1001,20240125,100,3,QA_TEAM,IQC,LOT,0
INSPX090074,,SUP_002,MAT_FG_1001,20240125,105,4,QA_TEAM,IQC,LOT,0
INSPX090075,,SUP_003,MAT_FG_1001,20240125,110,5,QA_TEAM,IQC,LOT,0
INSPX090076,,SUP_001,MAT_FG_1001,20240126,100,4,QA_TEAM,IQC,LOT,0
INSPX090077,,SUP_002,MAT_FG_1001,20240126,105,5,QA_TEAM,IQC,LOT,0
INSPX090078,,SUP_003,MAT_FG_1001,20240126,110,6,QA_TEAM,IQC,LOT,0
INSPX090079,,SUP_001,MAT_FG_1001,20240127,100,5,QA_TEAM,IQC,LOT,0
INSPX090080,,SUP_002,MAT_FG_1001,20240127,105,6,QA_TEAM,IQC,LOT,0
INSPX090081,,SUP_003,MAT_FG_1001,20240127,110,7,QA_TEAM,IQC,LOT,0
INSPX090082,,SUP_001,MAT_FG_1001,20240128,100,6,QA_TEAM,IQC,LOT,0
INSPX090083,,SUP_002,MAT_FG_1001,20240128,105,7,QA_TEAM,IQC,LOT,0
INSPX090084,,SUP_003,MAT_FG_1001,20240128,110,2,QA_TEAM,IQC,LOT,0
INSPX090085,,SUP_001,MAT_FG_1001,20240129,100,7,QA_TEAM,IQC,LOT,0
INSPX090086,,SUP_002,MAT_FG_1001,20240129,105,2,QA_TEAM,IQC,LOT,0
INSPX090087,,SUP_003,MAT_FG_1001,20240129,110,3,QA_TEAM,IQC,LOT,0
INSPX090088,,SUP_001,MAT_FG_1001,20240130,100,2,QA_TEAM,IQC,LOT,0
INSPX090089,,SUP_002,MAT_FG_1001,20240130,105,3,QA_TEAM,IQC,LOT,0
INSPX090090,,SUP_003,MAT_FG_1001,20240130,110,4,QA_TEAM,IQC,LOT,0
INSPX090091,,SUP_001,MAT_FG_1001,20240131,100,3,QA_TEAM,IQC,LOT,0
