sales_order_id,customer_id,order_type_cd,sales_order_status_cd,order_date_key,req_delv_date_key,plant_id,sales_org_cd,currency_cd,biz_unit_cd,sales_channel_cd,incoterm_cd,created_by
SO0001,CUS_001,RPL,SHP,20250106,20250113,PLT_SOUTH,CN01,CNY,BU01,DIRECT,DAP,ERP
SO0002,CUS_001,STD,SHP,20250107,20250114,PLT_EAST,CN01,CNY,BU01,DIRECT,DAP,ERP
SO0003,CUS_002,STD,SHP,20250107,20250114,PLT_EAST,CN01,CNY,BU01,DIRECT,DAP,ERP
SO0004,CUS_002,EXP,SHP,20250108,20250115,PLT_SOUTH,CN01,CNY,BU01,DIRECT,DAP,ERP
SO0005,CUS_003,EXP,SHP,20250108,20250115,PLT_SOUTH,CN01,CNY,BU01,DIRECT,DAP,ERP
SO0006,CUS_003,RPL,SHP,20250109,20250116,PLT_EAST,CN01,CNY,BU01,DIRECT,DAP,ERP
SO0007,CUS_004,RPL,SHP,20250109,20250116,PLT_EAST,CN01,CNY,BU01,DIRECT,DAP,ERP
SO0008,CUS_004,STD,SHP,20250110,20250117,PLT_SOUTH,CN01,CNY,BU01,DIRECT,DAP,ERP
SO0009,CUS_005,STD,SHP,20250110,20250117,PLT_SOUTH,CN01,CNY,BU01,DIRECT,DAP,ERP
SO0010,CUS_005,EXP,SHP,20250111,20250118,PLT_EAST,CN01,CNY,BU01,DIRECT,DAP,ERP
SO0011,CUS_006,EXP,CNL,20250111,20250118,PLT_EAST,CN01,CNY,BU01,DIRECT,DAP,ERP
SO0012,CUS_006,RPL,SHP,20250112,20250119,PLT_SOUTH,CN01,CNY,BU01,DIRECT,DAP,ERP
SO0013,CUS_007,RPL,SHP,20250112,20250119,PLT_SOUTH,CN01,CNY,BU01,DIRECT,DAP,ERP
SO0014,CUS_007,STD,SHP,20250113,20250120,PLT_EAST,CN01,CNY,BU01,DIRECT,DAP,ERP
SO0015,CUS_008,STD,SHP,20250113,20250120,PLT_EAST,CN01,CNY,BU01,DIRECT,DAP,ERP
SO0016,CUS_008,EXP,SHP,20250114,20250121,PLT_SOUTH,CN01,CNY,BU01,DIRECT,DAP,ERP
SO0017,CUS_001,EXP,SHP,20250206,20250213,PLT_SOUTH,CN01,CNY,BU01,DIRECT,DAP,ERP
SO0018,CUS_001,RPL,SHP,20250207,20250214,PLT_EAST,CN01,CNY,BU01,DIRECT,DAP,ERP
SO0019,CUS_002,RPL,SHP,20250207,20250214,PLT_EAST,CN01,CNY,BU01,DIRECT,DAP,ERP
SO0020,CUS_002,STD,SHP,20250208,20250215,PLT_SOUTH,CN01,CNY,BU01,DIRECT,DAP,ERP
SO0021,CUS_003,STD,SHP,20250208,20250215,PLT_SOUTH,CN01,CNY,BU01,DIRECT,DAP,ERP
SO0022,CUS_003,EXP,CNL,20250209,20250216,PLT_EAST,CN01,CNY,BU01,DIRECT,DAP,ERP
SO0023,CUS_004,EXP,SHP,20250209,20250216,PLT_EAST,CN01,CNY,BU01,DIRECT,DAP,ERP
SO0024,CUS_004,RPL,SHP,20250210,20250217,PLT_SOUTH,CN01,CNY,BU01,DIRECT,DAP,ERP
SO0025,CUS_005,RPL,SHP,20250210,20250217,PLT_SOUTH,CN01,CNY,BU01,DIRECT,DAP,ERP
SO0026,CUS_005,STD,SHP,20250211,20250218,PLT_EAST,CN01,CNY,BU01,DIRECT,DAP,ERP
SO0027,CUS_006,STD,SHP,20250211,20250218,PLT_EAST,CN01,CNY,BU01,DIRECT,DAP,ERP
SO0028,CUS_006,EXP,SHP,20250212,20250219,PLT_SOUTH,CN01,CNY,BU01,DIRECT,DAP,ERP
SO0029,CUS_007,EXP,SHP,20250212,20250219,PLT_SOUTH,CN01,CNY,BU01,DIRECT,DAP,ERP
SO0030,CUS_007,RPL,SHP,20250213,20250220,PLT_EAST,CN01,CNY,BU01,DIRECT,DAP,ERP
SO0031,CUS_008,RPL,SHP,20250213,20250220,PLT_EAST,CN01,CNY,BU01,DIRECT,DAP,ERP
SO0032,CUS_008,STD,SHP,20250214,20250221,PLT_SOUTH,CN01,CNY,BU01,DIRECT,DAP,ERP
SO0033,CUS_001,STD,CNL,20250306,20250313,PLT_SOUTH,CN01,CNY,BU01,DIRECT,DAP,ERP
SO0034,CUS_001,EXP,SHP,20250307,20250314,PLT_EAST,CN01,CNY,BU01,DIRECT,DAP,ERP
SO0035,CUS_002,EXP,SHP,20250307,20250314,PLT_EAST,CN01,CNY,BU01,DIRECT,DAP,ERP
SO0036,CUS_002,RPL,SHP,20250308,20250315,PLT_SOUTH,CN01,CNY,BU01,DIRECT,DAP,ERP
SO0037,CUS_003,RPL,SHP,20250308,20250315,PLT_SOUTH,CN01,CNY,BU01,DIRECT,DAP,ERP
SO0038,CUS_003,STD,SHP,20250309,20250316,PLT_EAST,CN01,CNY,BU01,DIRECT,DAP,ERP
SO0039,CUS_004,STD,SHP,20250309,20250316,PLT_EAST,CN01,CNY,BU01,DIRECT,DAP,ERP
SO0040,CUS_004,EXP,SHP,20250310,20250317,PLT_SOUTH,CN01,CNY,BU01,DIRECT,DAP,ERP
