sales_order_line_id,sales_order_id,material_id,order_qty,order_quantity,net_amt,line_status_cd,promise_dt_key,discount_amt,tax_amt,ship_from_wh_id,priority_cd,requested_ship_dt_key
SOL00011,SO0001,MAT_FG_1002,113,113,77970.0,SHP,20250113,0.0,0.0,WH_E_FG,N,20250101
SOL00012,SO0001,MAT_FG_1003,94,94,70500.0,SHP,20250113,0.0,0.0,WH_E_FG,N,20250101
SOL00021,SO0002,MAT_FG_1003,103,103,77250.0,SHP,20250114,0.0,0.0,WH_E_FG,N,20250101
SOL00031,SO0003,MAT_FG_1003,101,101,75750.0,SHP,20250114,0.0,0.0,WH_E_FG,N,20250101
SOL00032,SO0003,MAT_FG_1004,92,92,74520.0,SHP,20250114,0.0,0.0,WH_E_FG,N,20250101
SOL00041,SO0004,MAT_FG_1004,101,101,81810.0,SHP,20250115,0.0,0.0,WH_E_FG,N,20250101
SOL00051,SO0005,MAT_FG_1004,99,99,80190.0,SHP,20250115,0.0,0.0,WH_E_FG,N,20250101
SOL00052,SO0005,MAT_FG_1005,80,80,69600.0,SHP,20250115,0.0,0.0,WH_E_FG,N,20250101
SOL00061,SO0006,MAT_FG_1005,89,89,77430.0,SHP,20250116,0.0,0.0,WH_E_FG,N,20250101
SOL00071,SO0007,MAT_FG_1005,87,87,75690.0,SHP,20250116,0.0,0.0,WH_E_FG,N,20250101
SOL00072,SO0007,MAT_FG_1006,108,108,100440.0,SHP,20250116,0.0,0.0,WH_E_FG,N,20250101
SOL00081,SO0008,MAT_FG_1006,117,117,108810.0,SHP,20250117,0.0,0.0,WH_E_FG,N,20250101
SOL00091,SO0009,MAT_FG_1006,115,115,106950.0,SHP,20250117,0.0,0.0,WH_E_FG,N,20250101
SOL00092,SO0009,MAT_FG_1001,141,141,88830.0,SHP,20250117,0.0,0.0,WH_E_FG,N,20250101
SOL00101,SO0010,MAT_FG_1001,150,150,94500.0,SHP,20250118,0.0,0.0,WH_E_FG,N,20250101
SOL00111,SO0011,MAT_FG_1001,108,108,68040.0,CNL,20250118,0.0,0.0,WH_E_FG,N,20250101
SOL00112,SO0011,MAT_FG_1002,84,84,57960.0,CNL,20250118,0.0,0.0,WH_E_FG,N,20250101
SOL00121,SO0012,MAT_FG_1002,133,133,91770.0,SHP,20250119,0.0,0.0,WH_E_FG,N,20250101
SOL00131,SO0013,MAT_FG_1002,131,131,90390.0,SHP,20250119,0.0,0.0,WH_E_FG,N,20250101
SOL00132,SO0013,MAT_FG_1003,112,112,84000.0,SHP,20250119,0.0,0.0,WH_E_FG,N,20250101
SOL00141,SO0014,MAT_FG_1003,121,121,90750.0,SHP,20250120,0.0,0.0,WH_E_FG,N,20250101
SOL00151,SO0015,MAT_FG_1003,119,119,89250.0,SHP,20250120,0.0,0.0,WH_E_FG,N,20250101
SOL00152,SO0015,MAT_FG_1004,110,110,89100.0,SHP,20250120,0.0,0.0,WH_E_FG,N,20250101
SOL00161,SO0016,MAT_FG_1004,119,119,96390.0,SHP,20250121,0.0,0.0,WH_E_FG,N,20250101
SOL00171,SO0017,MAT_FG_1003,103,103,78074.0,SHP,20250213,0.0,0.0,WH_E_FG,N,20250101
SOL00172,SO0017,MAT_FG_1004,91,91,74438.0,SHP,20250213,0.0,0.0,WH_E_FG,N,20250101
SOL00181,SO0018,MAT_FG_1004,100,100,81800.0,SHP,20250214,0.0,0.0,WH_E_FG,N,20250101
SOL00191,SO0019,MAT_FG_1004,98,98,80164.0,SHP,20250214,0.0,0.0,WH_E_FG,N,20250101
SOL00192,SO0019,MAT_FG_1005,80,80,70240.0,SHP,20250214,0.0,0.0,WH_E_FG,N,20250101
SOL00201,SO0020,MAT_FG_1005,89,89,78142.0,SHP,20250215,0.0,0.0,WH_E_FG,N,20250101
SOL00211,SO0021,MAT_FG_1005,87,87,76386.0,SHP,20250215,0.0,0.0,WH_E_FG,N,20250101
