work_order_id,material_id,prod_line_id,work_order_status_cd,plan_start_dt_key,actual_end_dt_key,planned_qty,completed_qty,source_sales_order_id,work_center_cd,release_dt_key,close_dt_key,yield_loss_qty,priority_cd
WO0001,MAT_FG_1001,LINE_A,CMP,20250101,20250131,1230,1200,SO0001,ASM,20250101,,0,N
WO0002,MAT_FG_1002,LINE_B,CMP,20250101,20250131,1113,1100,SO0002,ASM,20250101,,0,N
WO0003,MAT_FG_1003,LINE_C,CMP,20250101,20250131,960,950,SO0003,ASM,20250101,,0,N
WO0004,MAT_FG_1004,LINE_D,CMP,20250101,20250131,903,870,SO0004,ASM,20250101,,0,N
WO0005,MAT_FG_1005,LINE_E,CMP,20250101,20250131,998,980,SO0005,ASM,20250101,,0,N
WO0006,MAT_FG_1006,LINE_F,CMP,20250101,20250131,937,920,SO0006,ASM,20250101,,0,N
WO0007,MAT_FG_1004,LINE_G,CMP,20250101,20250131,777,760,SO0007,ASM,20250101,,0,N
WO0008,MAT_FG_1002,LINE_H,CMP,20250101,20250131,534,520,SO0008,ASM,20250101,,0,N
WO0009,MAT_FG_1001,LINE_A,CMP,20250201,20250228,1313,1280,SO0009,ASM,20250101,,0,N
WO0010,MAT_FG_1002,LINE_B,CMP,20250201,20250228,1133,1120,SO0010,ASM,20250101,,0,N
WO0011,MAT_FG_1003,LINE_C,CMP,20250201,20250228,1051,1020,SO0011,ASM,20250101,,0,N
WO0012,MAT_FG_1004,LINE_D,CMP,20250201,20250228,943,910,SO0012,ASM,20250101,,0,N
WO0013,MAT_FG_1005,LINE_E,CMP,20250201,20250228,1043,1005,SO0013,ASM,20250101,,0,N
WO0014,MAT_FG_1006,LINE_F,CMP,20250201,20250228,957,930,SO0014,ASM,20250101,,0,N
WO0015,MAT_FG_1004,LINE_G,CMP,20250201,20250228,782,770,SO0015,ASM,20250101,,0,N
WO0016,MAT_FG_1002,LINE_H,CMP,20250201,20250228,508,480,SO0016,ASM,20250101,,0,N
WO0017,MAT_FG_1001,LINE_A,CMP,20250301,20250331,1403,1388,SO0017,ASM,20250101,,0,N
WO0018,MAT_FG_1002,LINE_B,CMP,20250301,20250331,1191,1180,SO0018,ASM,20250101,,0,N
WO0019,MAT_FG_1003,LINE_C,CMP,20250301,20250331,1000,990,SO0019,ASM,20250101,,0,N
WO0020,MAT_FG_1004,LINE_D,CMP,20250301,20250331,952,940,SO0020,ASM,20250101,,0,N
WO0021,MAT_FG_1005,LINE_E,CMP,20250301,20250331,1116,1100,SO0001,ASM,20250101,,0,N
WO0022,MAT_FG_1006,LINE_F,CMP,20250301,20250331,982,965,SO0002,ASM,20250101,,0,N
WO0023,MAT_FG_1004,LINE_G,CMP,20250301,20250331,806,780,SO0003,ASM,20250101,,0,N
WO0024,MAT_FG_1001,LINE_A,REL,20250401,,1389,1340,SO0004,ASM,20250101,,0,N
WO0025,MAT_FG_1002,LINE_B,REL,20250401,,1217,1164,SO0005,ASM,20250101,,0,N
WO0026,MAT_FG_1003,LINE_C,REL,20250401,,1042,970,SO0006,ASM,20250101,,0,N
WO0027,MAT_FG_1004,LINE_D,REL,20250401,,952,883,SO0007,ASM,20250101,,0,N
WO0028,MAT_FG_1005,LINE_E,REL,20250401,,1143,1093,SO0008,ASM,20250101,,0,N
WO0029,MAT_FG_1006,LINE_F,REL,20250401,,1004,942,SO0009,ASM,20250101,,0,N
WO0030,MAT_FG_1004,LINE_G,REL,20250401,,808,745,SO0010,ASM,20250101,,0,N
WOX010001,MAT_FG_1001,LINE_A,CMP,20240101,20240101,38,30,SOX020002,ASM,20250101,,0,N
WOX010002,MAT_FG_1001,LINE_A,CMP,20240101,20240101,37,31,SOX020003,ASM,20250101,,0,N
WOX010003,MAT_FG_1001,LINE_A,CMP,20240101,20240101,38,32,SOX020004,ASM,20250101,,0,N
WOX010004,MAT_FG_1001,LINE_A,CMP,20240102,20240102,35,31,SOX020005,ASM,20250101,,0,N
WOX010005,MAT_FG_1001,LINE_A,CMP,20240102,20240102,39,32,SOX020006,ASM,20250101,,0,N
WOX010006,MAT_FG_1001,LINE_A,CMP,20240102,20240102,35,33,SOX020007,ASM,20250101,,0,N
WOX010007,MAT_FG_1001,LINE_A,CMP,20240103,20240103,36,32,SOX020008,ASM,20250101,,0,N
WOX010008,MAT_FG_1001,LINE_A,CMP,20240103,20240103,38,33,SOX020009,ASM,20250101,,0,N
WOX010009,MAT_FG_1001,LINE_A,CMP,20240103,20240103,41,34,SOX020010,ASM,20250101,,0,N
WOX010010,MAT_FG_1001,LINE_A,CMP,20240104,20240104,39,33,SOX020011,ASM,20250101,,0,N
WOX010011,MAT_FG_1001,LINE_A,CMP,20240104,20240104,37,34,SOX020012,ASM,20250101,,0,N
WOX010012,MAT_FG_1001,LINE_A,CMP,20240104,20240104,38,35,SOX020013,ASM,20250101,,0,N
WOX010013,MAT_FG_1001,LINE_A,CMP,20240105,20240105,40,34,SOX020014,ASM,20250101,,0,N
WOX010014,MAT_FG_1001,LINE_A,CMP,20240105,20240105,38,35,SOX020015,ASM,20250101,,0,N
WOX010015,MAT_FG_1001,LINE_A,CMP,20240105,20240105,40,36,SOX020016,ASM,20250101,,0,N
WOX010016,MAT_FG_1001,LINE_A,CMP,20240106,20240106,42,35,SOX020017,ASM,20250101,,0,N
WOX010017,MAT_FG_1001,LINE_A,CMP,20240106,20240106,43,36,SOX020018,ASM,20250101,,0,N
