opr_id,work_order_id,opr_seq,work_center_cd,std_cycle_min,actual_cycle_min,setup_min,wait_min,opr_status_cd
1,WO0001,1,SMT,2.6,2.55,0.0,0.0,CMP
2,WO0001,2,ASM,3.4,3.33,0.0,0.0,CMP
3,WO0001,3,PACK,1.8,1.76,0.0,0.0,CMP
4,WO0002,1,SMT,2.6,2.63,0.0,0.0,CMP
5,WO0002,2,ASM,3.4,3.43,0.0,0.0,CMP
6,WO0002,3,PACK,1.8,1.82,0.0,0.0,CMP
7,WO0003,1,SMT,2.6,2.7,0.0,0.0,CMP
8,WO0003,2,ASM,3.4,3.54,0.0,0.0,CMP
9,WO0003,3,PACK,1.8,1.87,0.0,0.0,CMP
10,WO0004,1,SMT,2.6,2.78,0.0,0.0,CMP
11,WO0004,2,ASM,3.4,3.64,0.0,0.0,CMP
12,WO0004,3,PACK,1.8,1.93,0.0,0.0,CMP
13,WO0005,1,SMT,2.6,2.47,0.0,0.0,CMP
14,WO0005,2,ASM,3.4,3.23,0.0,0.0,CMP
15,WO0005,3,PACK,1.8,1.71,0.0,0.0,CMP
16,WO0006,1,SMT,2.6,2.55,0.0,0.0,CMP
17,WO0006,2,ASM,3.4,3.33,0.0,0.0,CMP
18,WO0006,3,PACK,1.8,1.76,0.0,0.0,CMP
19,WO0007,1,SMT,2.6,2.63,0.0,0.0,CMP
20,WO0007,2,ASM,3.4,3.43,0.0,0.0,CMP
21,WO0007,3,PACK,1.8,1.82,0.0,0.0,CMP
22,WO0008,1,SMT,2.6,2.7,0.0,0.0,CMP
23,WO0008,2,ASM,3.4,3.54,0.0,0.0,CMP
24,WO0008,3,PACK,1.8,1.87,0.0,0.0,CMP
25,WO0009,1,SMT,2.6,2.78,0.0,0.0,CMP
26,WO0009,2,ASM,3.4,3.64,0.0,0.0,CMP
27,WO0009,3,PACK,1.8,1.93,0.0,0.0,CMP
28,WO0010,1,SMT,2.6,2.47,0.0,0.0,CMP
29,WO0010,2,ASM,3.4,3.23,0.0,0.0,CMP
30,WO0010,3,PACK,1.8,1.71,0.0,0.0,CMP
31,WO0011,1,SMT,2.6,2.55,0.0,0.0,CMP
32,WO0011,2,ASM,3.4,3.33,0.0,0.0,CMP
33,WO0011,3,PACK,1.8,1.76,0.0,0.0,CMP
34,WO0012,1,SMT,2.6,2.63,0.0,0.0,CMP
35,WO0012,2,ASM,3.4,3.43,0.0,0.0,CMP
36,WO0012,3,PACK,1.8,1.82,0.0,0.0,CMP
37,WO0013,1,SMT,2.6,2.7,0.0,0.0,CMP
38,WO0013,2,ASM,3.4,3.54,0.0,0.0,CMP
39,WO0013,3,PACK,1.8,1.87,0.0,0.0,CMP
40,WO0014,1,SMT,2.6,2.78,0.0,0.0,CMP
41,WO0014,2,ASM,3.4,3.64,0.0,0.0,CMP
42,WO0014,3,PACK,1.8,1.93,0.0,0.0,CMP
43,WO0015,1,SMT,2.6,2.47,0.0,0.0,CMP
44,WO0015,2,ASM,3.4,3.23,0.0,0.0,CMP
45,WO0015,3,PACK,1.8,1.71,0.0,0.0,CMP
46,WO0016,1,SMT,2.6,2.55,0.0,0.0,CMP
47,WO0016,2,ASM,3.4,3.33,0.0,0.0,CMP
48,WO0016,3,PACK,1.8,1.76,0.0,0.0,CMP
49,WO0017,1,SMT,2.6,2.63,0.0,0.0,CMP
50,WO0017,2,ASM,3.4,3.43,0.0,0.0,CMP
51,WO0017,3,PACK,1.8,1.82,0.0,0.0,CMP
52,WO0018,1,SMT,2.6,2.7,0.0,0.0,CMP
53,WO0018,2,ASM,3.4,3.54,0.0,0.0,CMP
54,WO0018,3,PACK,1.8,1.87,0.0,0.0,CMP
55,WO0019,1,SMT,2.6,2.78,0.0,0.0,CMP
56,WO0019,2,ASM,3.4,3.64,0.0,0.0,CMP
57,WO0019,3,PACK,1.8,1.93,0.0,0.0,CMP
58,WO0020,1,SMT,2.6,2.47,0.0,0.0,CMP
59,WO0020,2,ASM,3.4,3.23,0.0,0.0,CMP
60,WO0020,3,PACK,1.8,1.71,0.0,0.0,CMP
61,WO0021,1,SMT,2.6,2.55,0.0,0.0,CMP
62,WO0021,2,ASM,3.4,3.33,0.0,0.0,CMP
63,WO0021,3,PACK,1.8,1.76,0.0,0.0,CMP
64,WO0022,1,SMT,2.6,2.63,0.0,0.0,CMP
65,WO0022,2,ASM,3.4,3.43,0.0,0.0,CMP
66,WO0022,3,PACK,1.8,1.82,0.0,0.0,CMP
67,WO0023,1,SMT,2.6,2.7,0.0,0.0,CMP
68,WO0023,2,ASM,3.4,3.54,0.0,0.0,CMP
69,WO0023,3,PACK,1.8,1.87,0.0,0.0,CMP
70,WO0024,1,SMT,2.6,2.78,0.0,0.0,CMP
71,WO0024,2,ASM,3.4,3.64,0.0,0.0,CMP
72,WO0024,3,PACK,1.8,1.93,0.0,0.0,CMP
73,WO0025,1,SMT,2.6,2.47,0.0,0.0,CMP
