case_id,customer_id,sales_order_id,material_id,plant_id,open_dt_key,close_dt_key,case_type_cd,case_status_cd,severity_cd,resp_team_cd,issue_channel_cd,root_cause_cd,claim_amt,replace_qty,return_qty,onsite_visit_fg,reopen_fg,sat_score,first_resp_hour,close_sla_hit_fg,final_action_cd
CASE000001,CUS_001,SO0001,MAT_FG_1002,PLT_SOUTH,20250106,20250106,TS,CLOSED,M,CS,PHONE,USAGE,120.0,1,1,0,0,4.2,6.0,1,REPLACE
CASE000002,CUS_001,SO0002,MAT_FG_1003,PLT_EAST,20250107,20250107,TS,CLOSED,M,CS,PHONE,USAGE,240.0,2,0,0,0,4.2,6.0,1,REPLACE
CASE000003,CUS_002,SO0003,MAT_FG_1004,PLT_EAST,20250107,20250107,RMA,CLOSED,M,CS,PHONE,USAGE,360.0,0,1,0,0,4.2,6.0,1,REPLACE
CASE000004,CUS_002,SO0004,MAT_FG_1005,PLT_SOUTH,20250108,20250108,TS,CLOSED,M,CS,PHONE,USAGE,480.0,1,0,0,0,4.2,6.0,1,REPLACE
CASE000005,CUS_003,SO0005,MAT_FG_1006,PLT_SOUTH,20250108,,TS,OPEN,M,CS,PHONE,USAGE,600.0,2,1,0,0,4.2,6.0,1,REPLACE
CASE000006,CUS_003,SO0006,MAT_FG_1001,PLT_EAST,20250109,20250109,RMA,CLOSED,M,CS,PHONE,USAGE,720.0,0,0,0,0,4.2,6.0,1,REPLACE
CASE000007,CUS_004,SO0007,MAT_FG_1002,PLT_EAST,20250109,20250109,TS,CLOSED,H,CS,PHONE,USAGE,840.0,1,1,0,0,4.2,6.0,1,REPLACE
CASE000008,CUS_004,SO0008,MAT_FG_1003,PLT_SOUTH,20250110,20250110,TS,CLOSED,M,CS,PHONE,USAGE,960.0,2,0,0,0,4.2,6.0,1,REPLACE
CASE000009,CUS_005,SO0009,MAT_FG_1004,PLT_SOUTH,20250110,20250110,RMA,CLOSED,M,CS,PHONE,USAGE,0.0,0,1,0,0,4.2,6.0,1,REPLACE
CASE000010,CUS_005,SO0010,MAT_FG_1005,PLT_EAST,20250111,,TS,OPEN,M,CS,PHONE,USAGE,120.0,1,0,0,0,4.2,6.0,1,REPLACE
CASE000011,CUS_006,SO0011,MAT_FG_1006,PLT_EAST,20250111,20250111,TS,CLOSED,M,CS,PHONE,USAGE,240.0,2,1,1,0,4.2,6.0,1,REPLACE
CASE000012,CUS_006,SO0012,MAT_FG_1001,PLT_SOUTH,20250112,20250112,RMA,CLOSED,M,CS,PHONE,USAGE,360.0,0,0,0,0,4.2,6.0,1,REPLACE
